Path,Global Weight
Knowledge selection / Human / Data representativeness,0.13048530142045714
Knowledge selection / Human / Dataset bias,0.130485301420457
Knowledge selection / Human / Temporal bias,0.0691222737190757
Knowledge selection / Human / Scale mismatch,0.06912227371907569
Knowledge selection / Human / Limited scene diversity,0.03889914002515839
Knowledge analysis / Human / Annotation errors,0.15084912450807528
Knowledge analysis / Human / Inadequate model architecture,0.05945447094160785
Knowledge analysis / Human / Lack of uncertainty estimation,0.018225597474972304
Knowledge analysis / Technological / Feature leakage,0.03047055905662073
Knowledge analysis / Technological / Incorrect spatial-geometric interpretation,0.015235279528310362
AGPM Training / Human / Domain shift,0.09926896062742112
AGPM Training / Human / Incomplete validation criteria,0.04963448031371055
AGPM Training / Technological / Overfitting,0.023272661595198748
AGPM Training / Technological / Confabulations,0.014839468080280133
AGPM Training / Technological / Confidence miscalibration,0.008739984081666775
AGPM Training / Technological / Catastrophic forgetting,0.002782366556564907
Model operation / Human / Loss of situational awareness,0.07797366231492892
Model operation / Technological / Sensor artifacts,0.006635204309686166
Model operation / Technological / Concept drift,0.003436187085783663
Model operation / Technological / Cascading error propagation,0.0010677032209485862
