profile_id,sample_index,sample_seed,accepted,max_cr,error,offending_paths
P1,0,17800042,True,0.07915606301660763,,
P1,1,17800043,True,0.027658123914658647,,
P1,2,17800044,True,0.06789056984696878,,
P1,3,17800045,True,0.07469979147107621,,
P1,4,17800046,True,0.03387133571239183,,
P1,5,17800047,True,0.03344450095276727,,
P1,6,17800048,True,0.03271611978194824,,
P1,7,17800049,True,0.043331938853427295,,
P1,8,17800050,True,0.029213734222870793,,
P1,9,17800051,True,0.035935000954838134,,
P1,10,17800052,True,0.03755995222473073,,
P1,11,17800053,True,0.07267571176653713,,
P1,12,17800054,True,0.07652277073657959,,
P1,13,17800055,True,0.06588870995677241,,
P1,14,17800056,True,0.05175987012073237,,
P1,15,17800057,True,0.03424592278045903,,
P1,16,17800058,True,0.0429011980213616,,
P1,17,17800059,True,0.029394386098823916,,
P1,18,17800060,True,0.03624059425002326,,
P1,19,17800061,True,0.05897635320695119,,
P1,20,17800062,True,0.06782301348000504,,
P1,21,17800063,True,0.07151774183016878,,
P1,22,17800064,True,0.04336992328797679,,
P1,23,17800065,True,0.037371969801203817,,
P1,24,17800066,True,0.058438131503899454,,
P1,25,17800067,True,0.057865840604705586,,
P1,26,17800068,True,0.051307044074666436,,
P1,27,17800069,True,0.06037306750455263,,
P1,28,17800070,True,0.05175987012073237,,
P1,29,17800071,True,0.059968554363022786,,
P1,30,17800072,True,0.043486243695677086,,
P1,31,17800073,True,0.0311327699422368,,
P1,32,17800074,True,0.03562523887667277,,
P1,33,17800075,True,0.027275836457597905,,
P1,34,17800076,False,0.13062835590698113,,
P1,35,17800077,True,0.027684179433061906,,
P1,36,17800078,True,0.06438966419940256,,
P1,37,17800079,True,0.029007481936693127,,
P1,38,17800080,True,0.02501756969150445,,
P1,39,17800081,True,0.038888622285062624,,
P1,40,17800082,True,0.03836148868039945,,
P1,41,17800083,True,0.0317366333992848,,
P1,42,17800084,True,0.028438250843895153,,
P1,43,17800085,True,0.02228343258153656,,
P1,44,17800086,True,0.036401680464985244,,
P1,45,17800087,True,0.05448002298237695,,
P1,46,17800088,True,0.04080774375632032,,
P1,47,17800089,True,0.03351558078428875,,
P1,48,17800090,True,0.03899344803940772,,
P1,49,17800091,True,0.06417201796393185,,
P1,50,17800092,True,0.09347961080195044,,
P1,51,17800093,True,0.05455646363308428,,
P1,52,17800094,True,0.032959689151926756,,
P1,53,17800095,True,0.04704015341289523,,
P1,54,17800096,False,0.11900278841616954,,
P1,55,17800097,True,0.05041832005252703,,
P1,56,17800098,True,0.03628195906579106,,
P1,57,17800099,True,0.03188070762555092,,
P1,58,17800100,True,0.05094317456026805,,
P1,59,17800101,True,0.04862434680558114,,
P1,60,17800102,True,0.04049403275454571,,
P1,61,17800103,True,0.036563632614068316,,
P1,62,17800104,True,0.033370469241558925,,
